fecha,hora_MVD,imagen,alt_es,alt_en,alt_de,texto_es,texto_en,texto_de,thread
2025-09-11,00:59,media/test.png,"ALT ES","ALT EN","ALT DE","Testeando","Testeando","Testeando",

2025-09-11,01:30,media/02_09_39.png,"Diario de Otto, 2 Sep 1939: enfrentamiento con soldado polaco; sensación de vacío.","Otto’s diary, 2 Sep 1939: close encounter with a Polish soldier; emptiness afterward.","Ottos Tagebuch, 2. Sep. 1939: Nahbegegnung mit polnischem Soldaten; Leere danach.","Hoy, me he encontrado frente a frente con un soldado polaco. Todo el entrenamiento se redujo a un único segundo. Disparé primero. Él cayó. No he mirado su cara. No he querido. Es una sensación extraña, vacía. Schulz me dio una palmada en el hombro: «Era él o tú, Menzel. Sigue avanzando». Y eso he hecho.

— 2 Sep 1939

#OttoDiario #SGM #WW2 #WW2Realtime","Today I came face to face with a Polish soldier. All the training narrowed to a single second. I fired first. He fell. I didn’t look at his face. I didn’t want to. It’s a strange, empty feeling. Schulz slapped my shoulder: “It was him or you, Menzel. Keep moving.” And that’s what I did.

— 2 Sep 1939

#OttoDiary #WWII #WW2Realtime","Heute stand ich einem polnischen Soldaten gegenüber. Ein Augenblick entschied alles. Ich schoss zuerst; er fiel. Sein Gesicht sah ich nicht. Leere. Schulz: «Er oder du, Menzel. Weiter.» Ich ging.

— 2. Sep. 1939

#OttosTagebuch #WW2 #WW2Realtime",
2025-09-11,04:12,media/03_09_39.png,"Diario de Otto, 3 Sep 1939: marcha en llanura; humo de granja, cansancio y avance.","Otto’s diary, 3 Sep 1939: marching across a plain; farm smoke; fatigue yet advancing.","Ottos Tagebuch, 3. Sep. 1939: Marsch über die Ebene; Hofrauch; Müdigkeit, dennoch vorwärts.","No hay descanso. Marchar, combatir, avanzar. El paisaje es una llanura interminable y monótona, solo rota por el humo de alguna granja en llamas. El cansancio es un peso constante sobre los hombros, pero la victoria se siente cerca y eso nos impulsa. No podemos detenernos ahora.

— 3 Sep 1939

#OttoDiario #SGM #WW2 #WW2Realtime","No rest. March, fight, advance. The landscape is an endless, monotonous plain, broken only by the smoke of some farm burning. The fatigue sits on our shoulders like a constant weight, but victory feels close and that drives us. We cannot stop now.

— 3 Sep 1939

#OttoDiary #WWII #WW2Realtime","Keine Rast. Marschieren, kämpfen, vorwärts. Endlose Ebene, nur unterbrochen vom Rauch brennender Höfe. Müdigkeit liegt wie Gewicht auf den Schultern, doch der Sieg scheint nah und treibt uns. Jetzt dürfen wir nicht anhalten.

— 3. Sep. 1939

#OttosTagebuch #WW2 #WW2Realtime",
2025-09-12,00:45,media/04_09_39.png,"Diario de Otto, 4 Sep 1939: declaración de guerra de Inglaterra/Francia; Höfer herido y evacuado.","Otto’s diary, 4 Sep 1939: UK/France declare war; Höfer wounded and evacuated.","Ottos Tagebuch, 4. Sep. 1939: UK/Frankreich erklären Krieg; Höfer verwundet und evakuiert.","Ha llegado la noticia esta mañana. Inglaterra y Francia nos han declarado la guerra. La reacción ha sido un estallido de furia y desprecio. «¿Ahora?», gritaba Hannes. «¡Ahora que estamos a punto de terminar aquí!».

Mientras maldecíamos su hipocresía, el mundo real nos golpeó. Un nido de ametralladora polaco, que creíamos silenciado, abrió fuego. Höfer cayó a mi lado, con un gemido sordo. Verlo en el suelo, con la cara pálida y la respiración entrecortada mientras los médicos se lo llevaban, ha sido un golpe para todos.

La noticia de la guerra con Inglaterra y Francia ya no es algo lejano. Ahora tiene un rostro: el de nuestro amigo siendo evacuado.

— 4 Sep 1939

#OttoDiario #SGM #WW2 #WW2Realtime","The news came this morning. England and France have declared war on us. The reaction was an outburst of fury and contempt. “Now?” Hannes shouted. “Now, when we’re about to finish here!”

While we were cursing their hypocrisy, the real world hit us. A Polish machine-gun nest we thought silenced opened fire. Höfer went down beside me with a dull groan. Seeing him on the ground, pale, breathing in short bursts as the medics carried him away, hit all of us hard.

The news of war with England and France is no longer something distant. Now it has a face: our friend being evacuated.

— 4 Sep 1939

#OttoDiary #WWII #WW2Realtime","Am Morgen: England/Frankreich erklären Krieg. Wut. Hannes: «Jetzt?» Dann Wirklichkeit: ein totgeglaubtes polnisches MG-Nest feuert. Höfer fällt neben mir; bleich, keuchend, tragen Sanitäter ihn fort. Der Krieg hat ein Gesicht.

— 4. Sep. 1939

#OttosTagebuch #WW2 #WW2Realtime",
2025-09-12,03:43,,Silencio tenso en la escuadra; el puesto de Höfer vacío. Rezo por él (5 Sep 1939).,Tense silence in the squad; Höfer’s post stands empty. Praying for him (5 Sep 1939).,Angespannte Stille; Höfers Platz leer. Wir beten für ihn (5. Sept. 1939).,"Hoy hemos avanzado poco. Hay un silencio tenso en la escuadra. El puesto de Höfer está vacío. Nadie lo dice, pero todos lo sentimos. La noticia de ayer ya no parece un titular de periódico; ahora resuena en ese hueco que ha dejado entre nosotros. Rezamos por él.

— 5 Sep 1939

#OttoDiario #SGM #WW2 #WW2Realtime","Today we advanced little. There’s a tense silence in the squad. Höfer’s post is empty. No one says it, but we all feel it. Yesterday’s news no longer feels like a newspaper headline; now it echoes in the space he left among us. We pray for him.

— 5 Sep 1939

#OttoDiary #WWII #WW2Realtime","Heute kaum vorwärts. In der Gruppe gespannte Stille. Höfers Platz ist leer. Keiner sagt es, alle spüren es. Gestern war es Schlagzeile; jetzt hallt es in der Lücke nach, die er hinterließ. Wir beten für ihn.

— 5. Sept. 1939

#OttosTagebuch #WW2 #WW2Realtime",
2025-09-12,05:24,,"Noches extrañas: destellos, rostros, el de Höfer. Seguir marchando (6 Sep 1939).","Strange nights: flashes, faces, Höfer’s pale face. Keep marching (6 Sep 1939).","Seltsame Nächte: Blitzbilder, Höfers blasses Gesicht. Weitergehen (6. Sept. 1939).","Las noches son extrañas. A veces, cuando cierro los ojos, no veo oscuridad, sino un fogonazo: el rostro de un desconocido, el rostro pálido de Höfer. La guerra te obliga a guardar estas imágenes en un rincón de la mente y seguir marchando. No hay otra opción.

— 6 Sep 1939

#OttoDiario #SGM #WW2 #WW2Realtime","Nights are strange. Sometimes, when I close my eyes, I don’t see darkness but a flash: the face of a stranger, Höfer’s pale face. War forces you to lock these images in a corner of the mind and keep marching. There is no other choice.

— 6 Sep 1939

#OttoDiary #WWII #WW2Realtime","Seltsame Nächte. Schließe ich die Augen, kein Dunkel, sondern ein Blitz: das Gesicht eines Fremden, Höfers blasses Gesicht. Der Krieg zwingt, diese Bilder wegzusperren und weiterzugehen. Es gibt keine andere Wahl.

— 6. Sept. 1939

#OttosTagebuch #WW2 #WW2Realtime",
2025-09-12,11:52,,Avance entre granjas con fuerte resistencia; cobertura con MG y relevos (8 Sep 1939).,Advance through farms under heavy resistance; MG cover and bounding (8 Sep 1939).,"Vorstoß durch Höfe, harter Widerstand; MG-Deckung und Wechsel (8. Sept. 1939).","Avanzando por granjas nos hemos topado con fuerte resistencia. Schulz nos gritó que nos moviéramos. Hannes abrió fuego con la MG, y sus ráfagas mantenían a los polacos con la cabeza gacha mientras Franz, Lukas y yo corríamos agachados para cubrir los siguientes cincuenta metros de campo. Luego nos tiramos al suelo, y fue nuestro turno de disparar para cubrir a Hannes mientras buscaba una nueva posición para la 'sierra'. Las tácticas que tanto hemos practicado hasta el cansancio se vuelven rutinas.

— 8 Sep 1939

#OttoDiario #SGM #WW2 #WW2Realtime","Pushing through farms we ran into heavy resistance. Schulz shouted for us to move. Hannes opened up with the MG, his bursts keeping the Poles’ heads down while Franz, Lukas, and I ran crouching to cover the next fifty meters. Then we hit the dirt, and it was our turn to fire and cover Hannes while he found a new position for the “saw.” The tactics we’ve drilled to exhaustion are becoming routine.

— 8 Sep 1939

#OttoDiary #WWII #WW2Realtime","Vorstoß durch Höfe; harter Widerstand. Schulz: Bewegung! Hannes’ MG drückt die Polen; Franz, Lukas und ich nehmen geduckt 50 m. Dann in den Dreck—wir decken Hannes, der die „Säge“ neu setzt. Drill wird Routine.

— 8. Sept. 1939

#OttosTagebuch #WW2 #WW2Realtime",
2025-09-12,13:12,media/09_09_39.png,Pueblo tomado; civiles tras cortinas con miedo y odio silente (9 Sep 1939).,Village taken; civilians behind curtains with fear and silent hatred (9 Sep 1939).,"Eingenommenes Dorf; Zivilisten hinter Gardinen, Angst und stummer Hass (9. Sept. 1939).","Hemos tomado un pequeño pueblo. La resistencia fue breve y desesperada. Al entrar, he visto por primera vez a los civiles polacos de cerca. Nos miran desde detrás de las cortinas con una mezcla de miedo y un odio silencioso que se puede palpar. No es como nos lo contaban. No hay alegría en sus rostros, solo vacío. Franz susurró: ""Nos miran como si fuéramos alimañas"". Me recorrió un escalofrío. Su odio es tan profundo y ciego... Es inquietante verlo tan de cerca. Supongo que la propaganda tenía razón sobre su hostilidad.

— 9 Sep 1939

#OttoDiario #SGM #WW2 #WW2Realtime","We took a small village. The resistance was brief and desperate. As we entered, I saw Polish civilians up close for the first time. They watch us from behind their curtains with a mix of fear and a palpable, silent hatred. It isn’t as we were told. There is no joy in their faces, only emptiness. Franz whispered, “They look at us as if we were vermin.” A chill ran through me. Their hatred is so deep and blind… It’s unsettling to see it this close. I suppose the propaganda was right about their hostility.

— 9 Sep 1939

#OttoDiary #WWII #WW2Realtime","Ein Dorf genommen; kurzer, verzweifelter Widerstand. Zivilisten hinter Gardinen—Angst und stummer Hass. Kein Jubel, nur Leere. Franz: „Sie sehen uns an wie Ungeziefer.“ Ihr Hass sitzt tief—vielleicht hatte die Propaganda recht.

— 9. Sept. 1939

#OttosTagebuch #WW2 #WW2Realtime",
2025-09-12,14:38,,"Diez días de campaña; juventud que arde, propósito endurecido; volver a casa (10 Sep 1939).","Ten days in the field; youth burning, purpose hardening; get home (10 Sep 1939).","Zehn Tage Feldzug; Jugend brennt, Wille wird hart; heimkehren (10. Sept. 1939).","Llevamos diez días en campaña y el chico que cruzó la frontera ya no existe. La vida de Höfer, la vida de un soldado polaco... Anoche hablaba de esto con Fritz. Él lo llama ""la terrible aritmética de la guerra"". Dice que este es el ""duro crisol que forja a una nación"", donde todo lo superfluo se quema y solo queda el acero. Sus palabras resuenan en mi cabeza. Quizá tenga razón. Siento que mi juventud se está quemando, pero mi propósito se vuelve más duro, más afilado. La muerte de Ernst exige que seamos más duros, que terminemos esto rápido. Solo importa una cosa: avanzar para que Franz, Hannes, yo y los demás muchachos podamos volver a casa. Ese pensamiento es el único que me mantiene en pie.

— 10 Sep 1939

#OttoDiario #SGM #WW2 #WW2Realtime","We’ve been in the field for ten days, and the boy who crossed the border no longer exists. Höfer’s life, a Polish soldier’s life… Last night I spoke about this with Fritz. He calls it “the terrible arithmetic of war.” He says this is “the hard crucible that forges a nation,” where everything superfluous is burned away and only steel remains. His words echo in my head. Perhaps he’s right. I feel my youth burning, but my purpose grows harder, sharper. Ernst’s death demands that we be harder, that we finish this quickly. Only one thing matters: to advance so that Franz, Hannes, I, and the other lads can go home. That thought is the only thing keeping me upright.

— 10 Sep 1939

#OttoDiary #WWII #WW2Realtime","Zehn Tage Feldzug: Der Junge von der Grenze ist weg. Mit Fritz: „die schreckliche Arithmetik des Krieges“. Meine Jugend brennt, der Wille wird hart. Ernsts Tod verlangt Härte. Vorwärts—rasch zum Ende, heimkehren.

— 10. Sept. 1939

#OttosTagebuch #WW2 #WW2Realtime",
